Year,Borough,Weighted_In_Degree,Weighted_Out_Degree,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Community_ID,Participation_Coefficient,Average_House_Price,Weighted_In_Degree_Lag1,Weighted_Out_Degree_Lag1,Betweenness_Centrality_Lag1,Closeness_Centrality_Lag1,Eigenvector_Centrality_Lag1,Community_ID_Lag1,Participation_Coefficient_Lag1,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Borough_Barking & Dagenham,Borough_Barnet,Borough_Brent,Borough_Bromley,Borough_Camden,Borough_City of London,Borough_Croydon,Borough_Ealing,Borough_Enfield,Borough_Greenwich,Borough_Hackney,Borough_Hammersmith & Fulham,Borough_Haringey,Borough_Harrow,Borough_Havering,Borough_Hillingdon,Borough_Hounslow,Borough_Islington,Borough_Kensington & Chelsea,Borough_Lambeth,Borough_Lewisham,Borough_Merton,Borough_Newham,Borough_Redbridge,Borough_Richmond upon Thames,Borough_Southwark,Borough_Tower Hamlets,Borough_Waltham Forest,Borough_Wandsworth,Borough_Westminster,Weighted_In_Degree_Lag1_Year_Interaction,Weighted_Out_Degree_Lag1_Year_Interaction,Betweenness_Centrality_Lag1_Year_Interaction,Closeness_Centrality_Lag1_Year_Interaction,Eigenvector_Centrality_Lag1_Year_Interaction,COVID_Period,Weighted_In_Degree_Lag1_COVID_Interaction,Weighted_Out_Degree_Lag1_COVID_Interaction,Betweenness_Centrality_Lag1_COVID_Interaction,Closeness_Centrality_Lag1_COVID_Interaction,Eigenvector_Centrality_Lag1_COVID_Interaction
2011,Barking & Dagenham,11690.857142857143,11810.57142857143,86.0,0.052184118695051386,0.032161560164160344,0.0,0.8809195496341568,168030.75,11130.857142857143,11281.42857142857,75.19047619047619,0.067612941247558,0.03229325311248226,0.0,0.8847685134331957,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-13795.991951711154,-13982.615694165892,-93.19382964453989,-0.08380195534909138,-0.040025440477445384,0,0.0,0.0,0.0,0.0,0.0
2012,Barking & Dagenham,11947.142857142857,12152.285714285714,88.16666666666666,0.0644400918089257,0.0344889577701168,0.0,0.8803716364449646,170496.5,11690.857142857143,11810.57142857143,86.0,0.052184118695051386,0.032161560164160344,0.0,0.8809195496341568,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2799.219315896308,-2827.8832997997383,-20.591549295781533,-0.01249478898332634,-0.0077006552505761786,0,0.0,0.0,0.0,0.0,0.0
2013,Barking & Dagenham,13589.714285714286,13751.42857142857,79.90476190476191,0.05365204257933538,0.03907965251696576,0.0,0.8768555336114979,178586.0,11947.142857142857,12152.285714285714,88.16666666666666,0.0644400918089257,0.0344889577701168,0.0,0.8803716364449646,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9086.559356135864,9242.583501005063,67.05633802816195,0.04901077405185382,0.026231038304029734,0,0.0,0.0,0.0,0.0,0.0
2014,Barking & Dagenham,14215.42857142857,14582.285714285714,94.61904761904762,0.06904976211836153,0.03343509614279677,0.0,0.8661962865408344,206790.75,13589.714285714286,13751.42857142857,79.90476190476191,0.05365204257933538,0.03907965251696576,0.0,0.8768555336114979,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23925.55331991843,24210.261569415397,140.67739771964486,0.09445782144248757,0.06880220513549998,0,0.0,0.0,0.0,0.0,0.0
2015,Barking & Dagenham,15095.42857142857,15692.857142857143,75.09523809523809,0.07564683287082652,0.0362075116251037,0.0,0.8574831414409417,239980.58333333334,14215.42857142857,14582.285714285714,94.61904761904762,0.06904976211836153,0.03343509614279677,0.0,0.8661962865408344,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39242.59154929464,40255.323943660806,261.2018779342647,0.19061624472110517,0.09229970202799968,0,0.0,0.0,0.0,0.0,0.0
2016,Barking & Dagenham,14663.142857142857,16320.285714285714,69.26190476190476,0.07269860426269896,0.04003657733016639,0.0,0.8616321863903401,281570.1666666667,15095.42857142857,15692.857142857143,75.09523809523809,0.07564683287082652,0.0362075116251037,0.0,0.8574831414409417,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,56767.31589537102,59013.98390341927,282.4004024144809,0.2844747095283134,0.13616064230848568,0,0.0,0.0,0.0,0.0,0.0
2017,Barking & Dagenham,36843.279647867195,36779.953321404835,14.416666666666666,0.19460710844388554,0.0407481965286355,0.0,0.8764407187835963,295771.0,14663.142857142857,16320.285714285714,69.26190476190476,0.07269860426269896,0.04003657733016639,0.0,0.8616321863903401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,69804.82092555215,77693.75452716167,329.72568745807627,0.34608631325058925,0.19059666390980298,0,0.0,0.0,0.0,0.0,0.0
2018,Barking & Dagenham,24965.228022090145,24486.65855363082,2.5454545454545454,0.20863730516879625,0.040727090835921194,0.0,0.8810689476563761,303429.5,36843.279647867195,36779.953321404835,14.416666666666666,0.19460710844388554,0.0407481965286355,0.0,0.8764407187835963,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,212238.0475489785,211873.25223175166,83.04812206572655,1.1210465824443392,0.23473256873537587,0,0.0,0.0,0.0,0.0,0.0
2019,Barking & Dagenham,1757.1788322466055,1728.781798933001,8.05709023941068,5.756355752438672,0.044947417997315754,0.024861878453038673,0.8803215156917074,306536.0,24965.228022090145,24486.65855363082,2.5454545454545454,0.20863730516879625,0.040727090835921194,0.0,0.8810689476563761,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,168779.00634652292,165543.60712313597,17.20870678617137,1.410505725084803,0.2753380788907316,0,0.0,0.0,0.0,0.0,0.0
2020,Barking & Dagenham,1423.1842705539077,1399.355474464062,24.892086330935253,4332.779539799172,0.1020727374908144,0.007194244604316547,0.8870093852038722,309238.4166666667,1757.1788322466055,1728.781798933001,8.05709023941068,5.756355752438672,0.044947417997315754,0.024861878453038673,0.8803215156917074,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13636.697698139009,13416.320721296814,62.52755946359492,44.672563656248954,0.34881728614817925,1,1757.1788322466055,1728.781798933001,8.05709023941068,5.756355752438672,0.044947417997315754
2021,Barking & Dagenham,3600.236844812301,3424.447967503137,1.8477157360406091,30.716258411929395,0.06049622503467965,0.015228426395939087,0.8909604160768467,317677.5833333333,1423.1842705539077,1399.355474464062,24.892086330935253,4332.779539799172,0.1020727374908144,0.007194244604316547,0.8870093852038722,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12467.89600400736,12259.14232558646,218.0686999695998,37957.589771198036,0.8942146861871264,1,1423.1842705539077,1399.355474464062,24.892086330935253,4332.779539799172,0.1020727374908144
2022,Barking & Dagenham,1515.6032795575857,1582.0185804619068,14.449023861171366,20325.714506983673,0.056922506065638645,0.03470715835140998,0.880316875434599,342717.0,3600.236844812301,3424.447967503137,1.8477157360406091,30.716258411929395,0.06049622503467965,0.015228426395939087,0.8909604160768467,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,35140.33990781555,33424.54142929091,18.03474655036805,299.807987034745,0.5904772387187698,1,3600.236844812301,3424.447967503137,1.8477157360406091,30.716258411929395,0.06049622503467965
2023,Barking & Dagenham,3741.5218446799927,3688.405394239015,100.84668989547038,6.344336227081469,0.052137262035824146,0.006968641114982578,0.8913686344863887,346955.3333333333,1515.6032795575857,1582.0185804619068,14.449023861171366,20325.714506983673,0.056922506065638645,0.03470715835140998,0.880316875434599,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16308.745149042068,17023.41120384349,155.4796370413358,218716.1392019072,0.6125182342837691,1,1515.6032795575857,1582.0185804619068,14.449023861171366,20325.714506983673,0.056922506065638645
2001,Barnet,15079.142857142857,16446.85714285714,70.44047619047619,0.09663672344839337,0.06845922410404699,1.0,0.9054130575066593,196828.5,15324.0,16720.85714285714,68.0952380952381,0.11048215235967744,0.06846771857593804,1.0,0.8977026454871996,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-172233.1267605646,-187933.01408450835,-765.3521126760619,-1.2417571490566652,-0.7695385834309711,0,0.0,0.0,0.0,0.0,0.0
2002,Barnet,15665.142857142857,17181.714285714286,75.24285714285715,0.07736168476921769,0.07535056024939737,1.1428571428571428,0.8748440015100215,234147.08333333334,15079.142857142857,16446.85714285714,70.44047619047619,0.09663672344839337,0.06845922410404699,1.0,0.9054130575066593,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-154401.92756539356,-168406.5513078484,-721.2707914151632,-0.989505604887078,-0.7009838862484866,0,0.0,0.0,0.0,0.0,0.0
2003,Barnet,15262.0,16472.85714285714,60.607142857142854,0.09528105547840997,0.08032914164238243,1.4285714285714286,0.8590072442914227,266463.5833333333,15665.142857142857,17181.714285714286,75.24285714285715,0.07736168476921769,0.07535056024939737,1.1428571428571428,0.8748440015100215,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-144737.09456740567,-158749.3601609672,-695.2016096579538,-0.7147783832198203,-0.6961967256845789,0,0.0,0.0,0.0,0.0,0.0
2004,Barnet,16484.571428571428,18181.428571428572,82.34523809523809,0.08403895521108831,0.08494601386180604,1.2857142857142858,0.8688882774635095,288357.9166666667,15262.0,16472.85714285714,60.607142857142854,0.09528105547840997,0.08032914164238243,1.4285714285714286,0.8590072442914227,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-125750.28169014207,-135727.06237424677,-499.3687122736467,-0.7850622176742306,-0.6618668712787913,0,0.0,0.0,0.0,0.0,0.0
2005,Barnet,16731.14285714286,18063.14285714286,125.97619047619048,0.09003548769525113,0.10210624364542238,1.2857142857142858,0.8390939402841715,296425.25,16484.571428571428,18181.428571428572,82.34523809523809,0.08403895521108831,0.08494601386180604,1.2857142857142858,0.8688882774635095,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-119339.01006036348,-131623.2997987942,-596.1331321260964,-0.6083946898380264,-0.6149612834502647,0,0.0,0.0,0.0,0.0,0.0
2006,Barnet,17511.714285714286,19014.0,120.52380952380952,0.10349783640373622,0.09178667626459228,1.1428571428571428,0.8290394192648723,309024.4166666667,16731.14285714286,18063.14285714286,125.97619047619048,0.09003548769525113,0.10210624364542238,1.2857142857142858,0.8390939402841715,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-104392.90543259692,-112703.83501006181,-786.020456069762,-0.5617707189999545,-0.6370854357031366,0,0.0,0.0,0.0,0.0,0.0
2007,Barnet,20091.714285714286,20972.571428571428,91.45238095238096,0.09334325677946254,0.10230100538559662,1.2857142857142858,0.8371202088801873,346762.0833333333,17511.714285714286,19014.0,120.52380952380952,0.10349783640373622,0.09178667626459228,1.1428571428571428,0.8290394192648723,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-91751.5171026171,-99622.64788732547,-631.4768611670116,-0.5422703541153586,-0.4809104728229415,0,0.0,0.0,0.0,0.0,0.0
2008,Barnet,21354.0,22249.14285714286,74.5,0.06714763720664939,0.0985198176667775,1.1428571428571428,0.82050962341025,350058.4166666667,20091.714285714286,20972.571428571428,91.45238095238096,0.09334325677946254,0.10230100538559662,1.2857142857142858,0.8371202088801873,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-85177.54929577626,-88911.88732394534,-387.7065727699604,-0.39572282099463035,-0.43369862846570656,0,0.0,0.0,0.0,0.0,0.0
2009,Barnet,21280.0,22166.285714285714,79.54761904761904,0.07524743971139798,0.10202290267672755,1.1428571428571428,0.8205159832596446,317261.0,21354.0,22249.14285714286,74.5,0.06714763720664939,0.0985198176667775,1.1428571428571428,0.82050962341025,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-69174.9295774665,-72074.68812877442,-241.33802816902005,-0.21752051489478508,-0.31914870511773785,0,0.0,0.0,0.0,0.0,0.0
2010,Barnet,22450.0,23190.0,114.61428571428571,0.08268422681522439,0.10487743676616941,1.1428571428571428,0.8541970820470324,353351.9166666667,21280.0,22166.285714285714,79.54761904761904,0.07524743971139798,0.10202290267672755,1.1428571428571428,0.8205159832596446,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-47655.21126760734,-49639.991951712036,-178.1418511066462,-0.16851187202975643,-0.22847382430422902,0,0.0,0.0,0.0,0.0,0.0
2011,Barnet,23422.0,24197.714285714286,58.38095238095237,0.06990957588431866,0.10103482943305626,1.1428571428571428,0.8251743900256401,359556.75,22450.0,23190.0,114.61428571428571,0.08268422681522439,0.10487743676616941,1.1428571428571428,0.8541970820470324,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-27825.352112677854,-28742.535211269464,-142.05714285715203,-0.10248185858789037,-0.1299889357101902,0,0.0,0.0,0.0,0.0,0.0
2012,Barnet,23094.85714285714,23968.285714285714,61.333333333333336,0.06926459590296195,0.10187504062850739,1.2857142857142858,0.8467996005393076,380399.0,23422.0,24197.714285714286,58.38095238095237,0.06990957588431866,0.10103482943305626,1.1428571428571428,0.8251743900256401,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-5608.084507044128,-5793.818913482823,-13.978537894035524,-0.01673891253568753,-0.024191438033275083,0,0.0,0.0,0.0,0.0,0.0
2013,Barnet,23711.428571428572,24032.85714285714,93.82142857142857,0.06102112257883353,0.1064468700680494,1.1428571428571428,0.8202475948838703,397522.25,23094.85714285714,23968.285714285714,61.333333333333336,0.06926459590296195,0.10187504062850739,1.2857142857142858,0.8467996005393076,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17565.102615692314,18229.400402412568,46.647887323938754,0.052680115193796506,0.07748242526674394,0,0.0,0.0,0.0,0.0,0.0
2014,Barnet,25888.0,26178.571428571428,70.83333333333333,0.06587830860875994,0.1183343488994092,1.2857142857142858,0.8301771810067907,456489.9166666667,23711.428571428572,24032.85714285714,93.82142857142857,0.06102112257883353,0.1064468700680494,1.1428571428571428,0.8202475948838703,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,41745.472837020236,42311.368209253604,165.1785714285639,0.10743155383596964,0.18740646138740238,0,0.0,0.0,0.0,0.0,0.0
2015,Barnet,27521.14285714286,27927.14285714286,90.71428571428571,0.08343320127959632,0.12419780478591387,1.1428571428571428,0.8301552004507925,507748.25,25888.0,26178.571428571428,70.83333333333333,0.06587830860875994,0.1183343488994092,1.2857142857142858,0.8301771810067907,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,71465.46478873031,72267.60563380072,195.5399061032807,0.18186124630023343,0.3266694702011765,0,0.0,0.0,0.0,0.0,0.0
2016,Barnet,28689.714285714286,28900.85714285714,50.714285714285715,0.08983218980362477,0.12694930226451578,1.2857142857142858,0.8540947750336512,557868.3333333334,27521.14285714286,27927.14285714286,90.71428571428571,0.08343320127959632,0.12419780478591387,1.1428571428571428,0.8301552004507925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103495.00201207024,105021.79074446457,341.13682092554603,0.3137558414317147,0.4670537165892718,0,0.0,0.0,0.0,0.0,0.0
2017,Barnet,70921.18548050759,75178.11850873029,32.25396825396825,0.3240377989784369,0.11378665997215466,1.0476190476190477,0.8374038604412769,570959.0,28689.714285714286,28900.85714285714,50.714285714285715,0.08983218980362477,0.12694930226451578,1.2857142857142858,0.8540947750336512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,136579.2032193136,137584.36217303592,241.42857142856738,0.4276518331496431,0.6043501995127551,0,0.0,0.0,0.0,0.0,0.0
